,comp_name,job_location,job_summary,job_title,listed_job_salary,salary_estimated
1374,Autolist,"San Francisco, CA",Experience using Python for Data Science. Help define and then hire roles to build out a complete data science teamConceive of and answer questions about our...,Data Scientist,,80000.0
1375,Sitecore,"Sausalito, CA","As a seasoned data scientist and a leader in your field, you will be working as part of a team to define and execute data science solutions....",Data Scientist,,80000.0
1376,Netflix,"Los Angeles, CA","Desire and willingness to continue growing your capabilities as a data scientist. As a scientist on the Content Science & Algorithms team, you will combine best...","Senior Machine Learning Scientist, Content Programming",,80000.0
1377,Credit Sesame,"San Francisco, CA",We are looking for a talented Data Scientist who can help fuel Credit Sesame’s growth by leading data science deliverables at Credit Sesame.... read more,Data Scientist,,80000.0
1378,Skillz Inc.,"San Francisco, CA","About Skillz: Today, people spend more time playing video games than they do playing all physical sports, and eSports are poised to become bigger than the NFL... read more",Data Scientist,,80000.0
1379,Dividend Solar,"San Francisco, CA",Bringing data to support opinions and proposals. Experience working with and synthesizing large sets of data. Dividend Finance is looking for a Business Analyst... read more,Data Scientist,,80000.0
1380,Autolist,"San Francisco, CA",Experience using Python for Data Science. Help define and then hire roles to build out a complete data science teamConceive of and answer questions about our... read more,Data Scientist,,80000.0
1381,Sitecore,"Sausalito, CA","As a seasoned data scientist and a leader in your field, you will be working as part of a team to define and execute data science solutions.... read more",Data Scientist,,80000.0
1382,Netflix,"Los Angeles, CA","Desire and willingness to continue growing your capabilities as a data scientist. As a scientist on the Content Science & Algorithms team, you will combine best... read more","Senior Machine Learning Scientist, Content Programming",,80000.0
1383,Netflix,"Los Angeles, CA",Desire and willingness to continue growing your capabilities as a data scientist. Experience using crowd-sourcing to collect and clean data.... read more,"Senior Machine Learning Scientist, Content Development",,80000.0
1384,Uber,"San Francisco, CA 94103 (South Of Market area)",As a data scientist on the Safety Data Science team you will have the opportunity to take on some of the hardest problems in all of Uber:.... read more,Data Scientist - Safety,,80000.0
1385,LG Electronics,"Santa Clara, CA","Senior Data Scientist and AI Engineer. A sense of ambition and passion to change the world using AI, Data Modeling and Deep Learning.... read more",Senior Data Scientist and AI Engineer,,80000.0
1386,Squelch,"Redwood City, CA",We are currently looking for a passionate Senior Data Scientist. Integrate the ML functionality efficiently into the data pipeline....,Senior Data Scientist,,80000.0
1387,Walmart eCommerce,"San Bruno, CA 94066",Distinguished Data Scientist opportunity on the Customer Promise team. A Distinguished Data Scientist provides oversight to a project team to analyze large data...,Distinguished Data Scientist,,80000.0
1388,BeyondCurious,"Los Angeles, CA 90034","As the Data Scientist, you will be responsible for orchestrating large, complex data science solutions for our enterprise clients....",Director of Data Science,,80000.0
1389,"Udacity, Inc.","Mountain View, CA 94040","Understand the data architecture, improve it by proposing effective data table layouts, and write data pipelines to transform data....",Senior Data Scientist,,80000.0
1390,Noodle.ai,"Palo Alto, CA",We have the tools (and data) to truly do interesting work in Data Science. You enjoy mentoring other intellectually curious data scientists....,Principal Data Scientist,,80000.0
1391,Salesforce,"San Francisco, CA","Senior Data Scientist, Pricing Intelligence. Acquire, clean, and structure data from multiple sources including data from Hadoop, and Oracle databases to build...","Data Scientist / Senior Data Scientist, Pricing Intelligence",,80000.0
1392,Clarity Insights,"San Francisco, CA","As a Senior Data Scientist at Clarity Insights you will fully understanding the requirements of our client, and will be working with very big data....",Data Scientist - Senior Consultant,,80000.0
1393,Varian Medical Systems,"Palo Alto, CA 94304",Update and refine the Predictive system with new models and new data. Design a Machine Learning system that will recognize patterns in the captured data and...,Data Scientist,,80000.0
1394,"Trusted Insight, Inc.","San Francisco, CA",Work with product and data scientist to translate existing requirements into robust software applications. Trusted Insight is the largest global professional...,Full Stack Engineer,,80000.0
1395,Hackers/Founders,"San Jose, CA","We are seeking talented data scientist with significant experience in AI. Experience with big data techniques (such as Hadoop, MapReduce, Spark)....",Data Scientist NLP/NLG at Up.IQ,,80000.0
1396,Netflix,"Los Gatos, CA",Strong data visualizations skills to convey information and results clearly. Proactively perform data exploration on user behavior to discover future testing...,Senior Data Scientist - Growth Experimentation and Modeling,,80000.0
1397,PVM,"San Diego, CA",2+ years' experience of working as a Data Scientist or Data Analyst. Perform preprocessing of structured and unstructured data....,Data Scientist (Systems Engineer),,80000.0
1398,Netflix,"Los Gatos, CA","As a senior data scientist, you will:. Proven track record of leveraging large amounts of data to solve real-world problems....",Senior Data Scientist - Machine Learning Research,,80000.0
1399,Signifyd,"San Jose, CA",Data Scientist Risk Analytics. Writing or modifying data pipelines to process and mine historical data. Experience designing experiments and collecting data....,Data Scientist Risk Analytics,,80000.0
1400,Dex YP,"Santa Monica, CA","Knowledge of NoSQL and Big Data. Knowledge of NoSQL, Hadoop and Big Data in general. Location - Virtual – CA preferred, but open to anywhere in the US....",Senior Data Scientist,,80000.0
1401,YuMe,"Redwood City, CA 94063",Join YuMe as a data scientist to be part of our efforts to build cutting edge digital advertising and marketing solutions....,Sr. Data Scientist,,80000.0
1402,KIXEYE,"San Francisco, CA 94104 (Financial District area)",Understanding of data warehousing technology and data pipeline/ETL management and optimization. Help develop and build our collaborative data science platform....,Senior Data Scientist,,80000.0
1403,CircleUp,"San Francisco, CA","We are looking for a data scientist who will be responsible for a variety of different projects, including data collection, data analysis, and algorithm...",Senior Data Scientist,,80000.0
