,comp_name,job_location,job_summary,job_title,listed_job_salary,salary_estimated
1453,Galvanize,"San Francisco, CA",Join us in building the world's hub for education in data science and data engineering. Our Data Science Instructors train technical professionals with...,"Lead Instructor, Principal Data Scientist",,80000.0
1454,Quantifind,"Menlo Park, CA","At Quantifind, we look to integrate large amounts of data from diverse data sources (structured financial data or unstructured social data) to drive important...",Senior Data Scientist,,80000.0
1455,Capella Space,"Palo Alto, CA","Capella is looking for an enthusiastic remote sensing data scientist with expertise in radar signal processing, electro-optical data analysis, machine learning...",Remote Sensing Scientist,,80000.0
1456,USC,"Los Angeles, CA","An innovative data core provides sophisticated data and analytic support – including research programmers, a statistician, system administrator, and a data...","Elizabeth Garrett Chair in Health Policy, Economics, & Law",,80000.0
1457,Fitbit,"San Francisco, CA 94105 (Financial District area)","Passion for data and data mining. Mine field data generated by Fitbit devices. Design, develop and build scripts to automate data processing....",Firmware Data Scientist,,80000.0
1458,Facebook,"Menlo Park, CA",Experience manipulating data sets through statistical software (ex. You will enjoy working with one of the richest data sets in the world to combine attitudinal...,"Data Scientist, Population and Survey Sciences",,80000.0
1459,Sigmaways,"Palo Alto, CA","Unsupervised feature learning, streaming data analysis, temporal data analytics, multi-modal and heterogeneous data analysis....",Sr. Data Scientist,,80000.0
1460,Coupang,"Mountain View, CA",The experimentation platform team at Coupang is looking for a Principal Data Scientist with a solid background in experimentation methodologies....,Sr. Principal Data Scientist (Experimentation Platform),,80000.0
1461,The North Face,"Alameda, CA","Inspire, manage and develop the team's data scientist. Manage agencies to help drive digital data innovation....","VF Corporation: Director, Digital Analytics",,80000.0
1462,Galvanize,"San Francisco, CA",Join us in building the world's hub for education in data science and data engineering. Our Data Science Instructors train technical professionals with...,"Lead Instructor, Principal Data Scientist",,80000.0
1463,Quantifind,"Menlo Park, CA","At Quantifind, we look to integrate large amounts of data from diverse data sources (structured financial data or unstructured social data) to drive important...",Senior Data Scientist,,80000.0
1464,Capella Space,"Palo Alto, CA","Capella is looking for an enthusiastic remote sensing data scientist with expertise in radar signal processing, electro-optical data analysis, machine learning...",Remote Sensing Scientist,,80000.0
1465,USC,"Los Angeles, CA","An innovative data core provides sophisticated data and analytic support – including research programmers, a statistician, system administrator, and a data...","Elizabeth Garrett Chair in Health Policy, Economics, & Law",,80000.0
1466,Facebook,"Menlo Park, CA",Experience manipulating data sets through statistical software (ex. You will enjoy working with one of the richest data sets in the world to combine attitudinal...,"Data Scientist, Population and Survey Sciences",,80000.0
1467,Fitbit,"San Francisco, CA 94105 (Financial District area)","Passion for data and data mining. Mine field data generated by Fitbit devices. Design, develop and build scripts to automate data processing....",Firmware Data Scientist,,80000.0
1468,Sigmaways,"Palo Alto, CA","Unsupervised feature learning, streaming data analysis, temporal data analytics, multi-modal and heterogeneous data analysis....",Sr. Data Scientist,,80000.0
1469,Coupang,"Mountain View, CA",The experimentation platform team at Coupang is looking for a Principal Data Scientist with a solid background in experimentation methodologies....,Sr. Principal Data Scientist (Experimentation Platform),,80000.0
1470,The North Face,"Alameda, CA","Inspire, manage and develop the team's data scientist. Manage agencies to help drive digital data innovation....","VF Corporation: Director, Digital Analytics",,80000.0
1471,Galvanize,"San Francisco, CA",Join us in building the world's hub for education in data science and data engineering. Our Data Science Instructors train technical professionals with...,"Lead Instructor, Principal Data Scientist",,80000.0
1472,Quantifind,"Menlo Park, CA","At Quantifind, we look to integrate large amounts of data from diverse data sources (structured financial data or unstructured social data) to drive important...",Senior Data Scientist,,80000.0
1473,Capella Space,"Palo Alto, CA","Capella is looking for an enthusiastic remote sensing data scientist with expertise in radar signal processing, electro-optical data analysis, machine learning...",Remote Sensing Scientist,,80000.0
1474,USC,"Los Angeles, CA","An innovative data core provides sophisticated data and analytic support – including research programmers, a statistician, system administrator, and a data...","Elizabeth Garrett Chair in Health Policy, Economics, & Law",,80000.0
1475,Facebook,"Menlo Park, CA",Experience manipulating data sets through statistical software (ex. You will enjoy working with one of the richest data sets in the world to combine attitudinal...,"Data Scientist, Population and Survey Sciences",,80000.0
1476,Fitbit,"San Francisco, CA 94105 (Financial District area)","Passion for data and data mining. Mine field data generated by Fitbit devices. Design, develop and build scripts to automate data processing....",Firmware Data Scientist,,80000.0
1477,Sigmaways,"Palo Alto, CA","Unsupervised feature learning, streaming data analysis, temporal data analytics, multi-modal and heterogeneous data analysis....",Sr. Data Scientist,,80000.0
1478,Coupang,"Mountain View, CA",The experimentation platform team at Coupang is looking for a Principal Data Scientist with a solid background in experimentation methodologies....,Sr. Principal Data Scientist (Experimentation Platform),,80000.0
1479,The North Face,"Alameda, CA","Inspire, manage and develop the team's data scientist. Manage agencies to help drive digital data innovation....","VF Corporation: Director, Digital Analytics",,80000.0
1480,Galvanize,"San Francisco, CA",Join us in building the world's hub for education in data science and data engineering. Our Data Science Instructors train technical professionals with...,"Lead Instructor, Principal Data Scientist",,80000.0
1481,Quantifind,"Menlo Park, CA","At Quantifind, we look to integrate large amounts of data from diverse data sources (structured financial data or unstructured social data) to drive important...",Senior Data Scientist,,80000.0
1482,Capella Space,"Palo Alto, CA","Capella is looking for an enthusiastic remote sensing data scientist with expertise in radar signal processing, electro-optical data analysis, machine learning...",Remote Sensing Scientist,,80000.0
1483,USC,"Los Angeles, CA","An innovative data core provides sophisticated data and analytic support – including research programmers, a statistician, system administrator, and a data...","Elizabeth Garrett Chair in Health Policy, Economics, & Law",,80000.0
1484,Fitbit,"San Francisco, CA 94105 (Financial District area)","Passion for data and data mining. Mine field data generated by Fitbit devices. Design, develop and build scripts to automate data processing....",Firmware Data Scientist,,80000.0
1485,Facebook,"Menlo Park, CA",Experience manipulating data sets through statistical software (ex. You will enjoy working with one of the richest data sets in the world to combine attitudinal...,"Data Scientist, Population and Survey Sciences",,80000.0
1486,Sigmaways,"Palo Alto, CA","Unsupervised feature learning, streaming data analysis, temporal data analytics, multi-modal and heterogeneous data analysis....",Sr. Data Scientist,,80000.0
1487,Coupang,"Mountain View, CA",The experimentation platform team at Coupang is looking for a Principal Data Scientist with a solid background in experimentation methodologies....,Sr. Principal Data Scientist (Experimentation Platform),,80000.0
1488,The North Face,"Alameda, CA","Inspire, manage and develop the team's data scientist. Manage agencies to help drive digital data innovation....","VF Corporation: Director, Digital Analytics",,80000.0
1489,Galvanize,"San Francisco, CA",Join us in building the world's hub for education in data science and data engineering. Our Data Science Instructors train technical professionals with...,"Lead Instructor, Principal Data Scientist",,80000.0
1490,Quantifind,"Menlo Park, CA","At Quantifind, we look to integrate large amounts of data from diverse data sources (structured financial data or unstructured social data) to drive important...",Senior Data Scientist,,80000.0
1491,Capella Space,"Palo Alto, CA","Capella is looking for an enthusiastic remote sensing data scientist with expertise in radar signal processing, electro-optical data analysis, machine learning...",Remote Sensing Scientist,,80000.0
1492,USC,"Los Angeles, CA","An innovative data core provides sophisticated data and analytic support – including research programmers, a statistician, system administrator, and a data...","Elizabeth Garrett Chair in Health Policy, Economics, & Law",,80000.0
